hamlet.txt
words,count,frequency
 the, 1162 ,0.23249299719887956
 and, 1034 ,0.2068827531012405
 you, 586 ,0.1172468987595038
 that, 411 ,0.0822328931572629
 ham, 358 ,0.07162865146058424
 this, 338 ,0.06762705082032813
 not, 334 ,0.06682673069227692
 for, 306 ,0.061224489795918366
 his, 304 ,0.06082432973189276
 with, 294 ,0.058823529411764705

the-new-atlantis.txt
words,count,frequency
 the, 886 ,0.28710304601425796
 and, 870 ,0.28191834089436163
 that, 287 ,0.09300064808813999
 for, 223 ,0.07226182760855476
 you, 161 ,0.05217109526895658
 have, 157 ,0.0508749189889825
 this, 146 ,0.047310434219053794
 which, 132 ,0.04277381723914452
 our, 124 ,0.04018146467919637
 with, 122 ,0.03953337653920933

intersection size,1465.0
union size,6619.0
correlation,0.2213325275721408
